Date,Open,High,Low,Close
11/01/2023,20.66,22.07,18.06,21.17
10/31/2023,23.17,23.27,22.47,22.83
10/30/2023,22.96,23.32,22.48,23.12
10/29/2023,23.02,23.02,22.41,22.97
10/28/2023,23.17,23.82,23.06,23.25
10/27/2023,21.59,22.96,21.59,22.93
10/26/2023,21.46,21.46,20.91,21.18
10/25/2023,21.34,21.71,21.25,21.60
10/24/2023,21.48,21.92,21.28,21.45
10/23/2023,21.38,21.47,21.00,21.18
10/22/2023,22.00,22.00,21.34,21.52
10/21/2023,22.07,22.21,21.70,21.85
10/20/2023,22.52,22.52,21.78,22.22
10/19/2023,22.79,22.93,22.23,22.29
10/18/2023,23.07,23.40,22.68,22.80
10/17/2023,23.56,23.70,22.90,23.01
10/16/2023,24.48,24.48,23.37,23.58
10/15/2023,24.58,25.13,24.50,24.68
10/14/2023,24.63,24.80,24.35,24.56
10/13/2023,25.00,25.04,24.17,24.37
10/12/2023,25.77,25.77,24.33,24.85
10/11/2023,25.32,26.02,24.96,25.83
10/10/2023,25.61,26.10,25.03,25.16
10/09/2023,25.19,25.62,25.19,25.41
