Date,Open,High,Low,Close
06/25/2023,1200.00,1260.00,1080.00,1140.00
06/24/2023,1140.00,1197.00,1026.00,1083.00
06/23/2023,1083.00,1137.15,974.70,1028.85
06/22/2023,1028.85,1080.29,925.97,977.41
06/21/2023,977.41,1026.28,879.67,928.54
06/20/2023,928.54,974.96,835.68,882.11
06/19/2023,882.11,926.22,793.90,838.00
06/18/2023,838.00,879.90,754.20,796.10
06/17/2023,796.10,835.91,716.49,756.30
06/16/2023,756.30,794.11,680.67,718.48
06/15/2023,718.48,754.41,646.64,682.56
06/14/2023,682.56,716.69,614.30,648.43
06/13/2023,648.43,680.85,583.59,616.01
