Date,Open,High,Low,Close
22/03/2017,4.9932,4.9932,4.9932,4.9932
23/03/2017,4.9807,4.9807,4.9807,4.9807
24/03/2017,4.9677,4.9677,4.9677,4.9677
27/03/2017,4.9645,4.9645,4.9645,4.9645
28/03/2017,4.9675,4.9675,4.9675,4.9675
29/03/2017,4.9835,4.9835,4.9835,4.9835
30/03/2017,4.9905,4.9905,4.9905,4.9905
31/03/2017,4.9755,4.9755,4.9755,4.9755
03/04/2017,4.9615,4.9615,4.9615,4.9615
04/04/2017,4.9555,4.9555,4.9555,4.9555
05/04/2017,4.9865,4.9865,4.9865,4.9865
06/04/2017,4.962,4.962,4.962,4.962
07/04/2017,4.98,4.98,4.98,4.98
10/04/2017,4.985,4.985,4.985,4.985
11/04/2017,4.985,4.985,4.985,4.985
12/04/2017,5.00775,5.00775,5.00775,5.00775
13/04/2017,4.999,4.999,4.999,4.999
18/04/2017,5.04875,5.04875,5.04875,5.04875
19/04/2017,5.03375,5.03375,5.03375,5.03375
20/04/2017,5.0025,5.0025,5.0025,5.0025
21/04/2017,5.00875,5.00875,5.00875,5.00875
24/04/2017,5.02,5.02,5.02,5.04
25/04/2017,5.04,5.04,5.04,5.06
26/04/2017,5.04625,5.04625,5.04625,5.04625
27/04/2017,5.01,5.01,5.01,5.01
28/04/2017,5.0045,5.0045,5.0045,5.0045
02/05/2017,4.98,4.98,4.98,4.96
03/05/2017,4.965,4.965,4.965,4.965
04/05/2017,5.0005,5.0005,5.0005,5.0005
05/05/2017,5.005,5.005,5.005,5.005
08/05/2017,5.00625,5.00625,5.00625,5.00625
09/05/2017,5.0035,5.0035,5.0035,5.0035
10/05/2017,4.996,4.996,4.996,4.996
11/05/2017,5,5,5,4.99
12/05/2017,4.995,4.995,4.995,4.995
15/05/2017,5.01,5.01,5.01,5.01
16/05/2017,5.02375,5.02375,5.02375,5.02375
17/05/2017,4.9965,4.9965,4.9965,4.9965
18/05/2017,5.004,5.004,5.004,5.004
19/05/2017,5.025,5.025,5.025,5.025
22/05/2017,5.04125,5.04125,5.04125,5.04125
23/05/2017,5.07,5.07,5.07,5.07
24/05/2017,5.06625,5.06625,5.06625,5.06625
25/05/2017,5.11625,5.11625,5.11625,5.11625
26/05/2017,5.14,5.14,5.14,5.13
30/05/2017,5.125,5.125,5.125,5.125
31/05/2017,5.15,5.15,5.15,5.15
01/06/2017,5.14125,5.14125,5.14125,5.14125
02/06/2017,5.18875,5.18875,5.18875,5.18875
05/06/2017,5.19,5.19,5.19,5.19
06/06/2017,5.19375,5.19375,5.19375,5.19375
07/06/2017,5.19,5.19,5.19,5.19
08/06/2017,5.16,5.16,5.16,5.16
09/06/2017,5.15875,5.15875,5.15875,5.15875
12/06/2017,5.17,5.17,5.16,5.14
13/06/2017,5.145,5.145,5.145,5.145
14/06/2017,5.19625,5.19625,5.19625,5.19625
15/06/2017,5.19,5.19,5.19,5.17
16/06/2017,5.09875,5.09875,5.09875,5.09875
19/06/2017,5.13375,5.13375,5.13375,5.13375
20/06/2017,5.1575,5.1575,5.1575,5.1575
21/06/2017,5.1225,5.1225,5.1225,5.1225
22/06/2017,5.1025,5.1025,5.1025,5.1025
23/06/2017,5.1025,5.1025,5.1025,5.1025
26/06/2017,5.1057,5.1057,5.1057,5.1057
27/06/2017,5.0605,5.0605,5.0605,5.0605
28/06/2017,5.08,5.08,5.08,5.1
29/06/2017,5.04,5.04,5.04,5.04
30/06/2017,5.03,5.03,5.03,5.04
03/07/2017,5.0325,5.0325,5.0325,5.0325
